"Gene","Dataset","Trait","Method","HGNC","Transcript","Chromosome","Start","End","Biotype","Z","P","Permutation.P","R2","Top.GWAS.SNP","Top.GWAS.P","Screen.P","Screening.Adjusted.P","Confirmation.P"
"ENSG00000184588","Developmental","MDD","isoTWAS","PDE4B","ENST00000423207",1,65792514,66374579,"protein_coding",4.004156969,6.22e-05,0.042957043,0.04374741,"rs2312154",4.95e-08,2.66757215453631e-06,4.37075604081843e-05,0.0007464
"ENSG00000184588","Developmental","MDD","isoTWAS","PDE4B","ENST00000480109",1,65792514,66374579,"protein_coding",5.207087292,1.92e-07,0.008991009,0.022637283,"rs2312154",4.95e-08,2.66757215453631e-06,4.37075604081843e-05,2.496e-06
"ENSG00000118473","Developmental","MDD","isoTWAS","SGIP1","ENST00000371039",1,66533267,66751139,"protein_coding",5.505415322,3.68e-08,0.004995005,0.028877462,"rs2312154",4.95e-08,4.04725607083386e-07,8.79120669275742e-06,3.68e-07
"ENSG00000198160","Developmental","MDD","isoTWAS","MIER1","ENST00000355356",1,66924895,66988619,"protein_coding",5.971736031,2.35e-09,0.000999001,0.090948912,"rs2312154",4.95e-08,2.1149944152042e-08,6.65378067582467e-07,1.88e-08
"ENSG00000004534","Developmental","MDD","isoTWAS","RBM6","ENST00000419610",3,49940007,50100045,"protein_coding",3.756953719,0.000171994,0.038961039,0.022805439,"rs7637711",4.98e-08,2.39378372960076e-08,7.44379106204752e-07,0.001872216
"ENSG00000172053","Developmental","MDD","isoTWAS","QARS1","ENST00000635375",3,49095932,49105130,"protein_coding",-4.071659692,4.67e-05,0.000999001,0.01925737,"rs7637711",4.98e-08,5.13093134021676e-06,7.45347442842108e-05,0.0009807
"ENSG00000178252","Developmental","MDD","isoTWAS","WDR6","ENST00000452875",3,49007062,49015953,"protein_coding",4.199812128,2.67e-05,0.021978022,0.035775959,"rs7637711",4.98e-08,1.8362874918835e-12,1.48179219157539e-10,0.0001602
"ENSG00000172053","Developmental","MDD","isoTWAS","QARS1","ENST00000470619",3,49095932,49105130,"protein_coding",-4.613414986,3.96e-06,0.012987013,0.056045125,"rs7637711",4.98e-08,5.13093134021676e-06,7.45347442842108e-05,0.00010296
"ENSG00000178537","Developmental","MDD","isoTWAS","SLC25A20","ENST00000479050",3,48856926,48898904,"protein_coding",-4.453941359,8.43e-06,0.000999001,0.034756467,"rs7637711",4.98e-08,1.52650854772239e-05,0.000184680070852262,2.529e-05
"ENSG00000178035","Developmental","MDD","isoTWAS","IMPDH2","ENST00000481274",3,49024325,49029447,"protein_coding",4.38786791,1.14e-05,0.020979021,0.040733943,"rs7637711",4.98e-08,1.6589999947528e-15,2.26903397587419e-13,2.28e-05
"ENSG00000172053","Developmental","MDD","isoTWAS","QARS1","ENST00000634953",3,49095932,49105130,"protein_coding",5.146559597,2.65e-07,0.022977023,0.021381976,"rs7637711",4.98e-08,5.13093134021676e-06,7.45347442842108e-05,7.42e-06
"ENSG00000178035","Developmental","MDD","isoTWAS","IMPDH2","ENST00000484872",3,49024325,49029447,"protein_coding",-5.077560496,3.82e-07,0.002997003,0.057830555,"rs7637711",4.98e-08,1.6589999947528e-15,2.26903397587419e-13,1.692e-06
