"Gene","Dataset","Trait","Method","HGNC","Transcript","Chromosome","Start","End","Biotype","Z","P","Permutation.P","R2","Top.GWAS.SNP","Top.GWAS.P","Screen.P","Screening.Adjusted.P","Confirmation.P"
"ENSG00000204576","Developmental","SCZ","isoTWAS","PRR3","ENST00000491173",6,30557280,30563723,"protein_coding",-7.41217358,1.24e-13,0.025974026,0.020977977,"rs3130557",1.33e-25,3.72182562839581e-13,3.47205455587746e-11,2.48e-13
"ENSG00000204599","Developmental","SCZ","isoTWAS","TRIM39","ENST00000396547",6,30326479,30343729,"protein_coding",-8.401885493,4.39e-17,0.018981019,0.038016535,"rs3130557",1.33e-25,2.19499999999625e-16,3.57829343433732e-14,1.756e-16
"ENSG00000231074","Developmental","SCZ","isoTWAS","HCG18","ENST00000454129",6,30286690,30327382,"lncRNA",8.213755182,2.14e-16,0.016983017,0.019234199,"rs3130557",1.33e-25,2.99585571636459e-15,3.83731074654033e-13,2.782e-15
"ENSG00000137337","Developmental","SCZ","isoTWAS","MDC1","ENST00000425072",6,30699807,30717447,"protein_coding",6.727739345,1.72e-11,0.005994006,0.044102768,"rs3130557",1.33e-25,2.94692784789348e-15,3.80483748297223e-13,1.032e-10
"ENSG00000137337","Developmental","SCZ","isoTWAS","MDC1","ENST00000613547",6,30699807,30717447,"protein_coding",-8.132310681,4.21e-16,0.005994006,0.069606257,"rs3130557",1.33e-25,2.94692784789348e-15,3.80483748297223e-13,2.526e-15
"ENSG00000137343","Developmental","SCZ","isoTWAS","ATAT1","ENST00000330083",6,30626842,30646823,"protein_coding",9.223889806,2.87e-20,0.001998002,0.031369805,"rs3130557",1.33e-25,1.72199999861393e-19,4.41132666311592e-17,1.435e-19
"ENSG00000204592","Developmental","SCZ","isoTWAS","HLA-E","ENST00000376630",6,30489509,30494194,"protein_coding",-10.68322892,1.22e-26,0.000999001,0.014017186,"rs3130557",1.33e-25,2.44e-26,3.28159666666667e-23,1.22e-26
"ENSG00000138172","Developmental","SCZ","isoTWAS","CALHM2","ENST00000480642",10,103446786,103452402,"protein_coding",-8.824359056,1.1e-18,0.03996004,0.05712999,"rs11191560",2.65e-23,4.4e-18,9.10405128205128e-16,3.3e-18
"ENSG00000166197","Developmental","SCZ","isoTWAS","NOLC1","ENST00000370007",10,102152176,102163871,"protein_coding",9.167782466,4.83e-20,0.020979021,0.035292722,"rs11191560",2.65e-23,1.932e-19,4.871960625e-17,1.449e-19
"ENSG00000198517","Developmental","SCZ","isoTWAS","MAFK","ENST00000343242",7,1530702,1543043,"protein_coding",-6.36577341,1.94e-10,0.048951049,0.0332199,"rs4721295",4.08e-23,5.18159748867817e-10,2.46683781326776e-08,3.88e-10
"ENSG00000136295","Developmental","SCZ","isoTWAS","TTYH3","ENST00000477439",7,2631961,2664802,"protein_coding",5.893709686,3.78e-09,0.043956044,0.045631767,"rs4721295",4.08e-23,4.55999889976501e-15,5.7495173627584e-13,1.512e-08
"ENSG00000002822","Developmental","SCZ","isoTWAS","MAD1L1","ENST00000491858",7,1815793,2233243,"protein_coding",5.919199025,3.24e-09,0.030969031,0.014564719,"rs4721295",4.08e-23,8.93748203632669e-13,7.88207773684571e-11,3.564e-08
"ENSG00000164880","Developmental","SCZ","isoTWAS","INTS1","ENST00000483196",7,1470277,1504389,"protein_coding",-6.665641773,2.64e-11,0.030969031,0.035764241,"rs4721295",4.08e-23,1.84800064765142e-10,9.98818147981093e-09,1.584e-10
"ENSG00000106012","Developmental","SCZ","isoTWAS","IQCE","ENST00000611775",7,2558972,2614733,"protein_coding",-5.999661992,1.98e-09,0.028971029,0.011609002,"rs4721295",4.08e-23,5.20799999998843e-20,1.50092699999667e-17,2.178e-08
"ENSG00000002822","Developmental","SCZ","isoTWAS","MAD1L1","ENST00000444373",7,1815793,2233243,"protein_coding",6.546493503,5.89e-11,0.013986014,0.027145577,"rs4721295",4.08e-23,8.93748203632669e-13,7.88207773684571e-11,7.657e-10
"ENSG00000164880","Developmental","SCZ","isoTWAS","INTS1","ENST00000404767",7,1470277,1504389,"protein_coding",-4.176736615,2.96e-05,0.010989011,0.408541126,"rs4721295",4.08e-23,1.84800064765142e-10,9.98818147981093e-09,0.0001776
"ENSG00000230487","Developmental","SCZ","isoTWAS","PSMG3-AS1","ENST00000612019",7,1570073,1589626,"lncRNA",-8.481290243,2.23e-17,0.005994006,0.031484155,"rs4721295",4.08e-23,8.56178624554197e-17,1.49467956288573e-14,6.69e-17
"ENSG00000002822","Developmental","SCZ","isoTWAS","MAD1L1","ENST00000483165",7,1815793,2233243,"protein_coding",7.499926686,6.39e-14,0.003996004,0.046450376,"rs4721295",4.08e-23,8.93748203632669e-13,7.88207773684571e-11,8.307e-13
"ENSG00000002822","Developmental","SCZ","isoTWAS","MAD1L1","ENST00000421113",7,1815793,2233243,"protein_coding",6.089930123,1.13e-09,0.002997003,0.037567062,"rs4721295",4.08e-23,8.93748203632669e-13,7.88207773684571e-11,1.356e-08
"ENSG00000136295","Developmental","SCZ","isoTWAS","TTYH3","ENST00000403167",7,2631961,2664802,"protein_coding",-8.038151851,9.12e-16,0.002997003,0.036502732,"rs4721295",4.08e-23,4.55999889976501e-15,5.7495173627584e-13,3.648e-15
"ENSG00000106003","Developmental","SCZ","isoTWAS","LFNG","ENST00000359574",7,2512529,2529177,"protein_coding",8.571179409,1.02e-17,0.001998002,0.014425845,"rs4721295",4.08e-23,4.07999999999928e-17,7.56863448275728e-15,3.06e-17
"ENSG00000106268","Developmental","SCZ","isoTWAS","NUDT1","ENST00000397049",7,2242226,2251146,"protein_coding",-8.798748466,1.38e-18,0.000999001,0.013761927,"rs4721295",4.08e-23,1.10399999999992e-17,2.17286048780473e-15,9.66e-18
"ENSG00000106012","Developmental","SCZ","isoTWAS","IQCE","ENST00000402050",7,2558972,2614733,"protein_coding",-9.424026192,4.34e-21,0.000999001,0.012853688,"rs4721295",4.08e-23,5.20799999998843e-20,1.50092699999667e-17,4.774e-20
"ENSG00000004478","Developmental","SCZ","isoTWAS","FKBP4","ENST00000543769",12,2794970,2805423,"protein_coding",-4.311436946,1.62e-05,0.048951049,0.017370034,"rs1108073",1.48e-22,8.09474993628418e-05,0.000687947178629228,6.48e-05
"ENSG00000076685","Developmental","SCZ","isoTWAS","NT5C2","ENST00000461461",10,103087185,103277605,"protein_coding",-9.181999472,4.23e-20,0.028971029,0.034389103,"rs12411886",1.77e-22,2.961e-19,7.24054227272727e-17,2.538e-19
"ENSG00000120049","Developmental","SCZ","isoTWAS","KCNIP2","ENST00000483385",10,101825974,101843920,"protein_coding",5.615674661,1.96e-08,0.031968032,0.013227206,"rs4147157",2.48e-22,1.06046919752327e-12,8.91401686397292e-11,5.88e-08
"ENSG00000120049","Developmental","SCZ","isoTWAS","KCNIP2","ENST00000355657",10,101825974,101843920,"protein_coding",-7.138908487,9.41e-13,0.007992008,0.037508568,"rs4147157",2.48e-22,1.06046919752327e-12,8.91401686397292e-11,4.705e-12
"ENSG00000269609","Developmental","SCZ","isoTWAS","C10orf95-AS1","ENST00000669625",10,102449816,102461106,"lncRNA",10.69619036,1.06e-26,0.000999001,0.010327463,"rs4147157",2.48e-22,4.23999999999997e-26,5.26379692307689e-23,7.42e-26
"ENSG00000269609","Developmental","SCZ","isoTWAS","C10orf95-AS1","ENST00000597488",10,102449816,102461106,"lncRNA",10.69619036,1.06e-26,0.000999001,0.013862406,"rs4147157",2.48e-22,4.23999999999997e-26,5.26379692307689e-23,7.42e-26
"ENSG00000111801","Developmental","SCZ","isoTWAS","BTN3A3","ENST00000474790",6,26440472,26453415,"protein_coding",9.349736448,8.79e-21,0.000999001,0.039656259,"rs9467704",8.52e-21,4.25726553339064e-20,1.29637751779984e-17,3.516e-20
"ENSG00000162244","Developmental","SCZ","isoTWAS","RPL29","ENST00000648640",3,51993522,51995895,"protein_coding",-9.686508115,3.44e-22,0.044955045,0.04211034,"rs2256332",1.14e-19,2.36919040430566e-21,1.27454546450297e-18,2.064e-21
"ENSG00000168273","Developmental","SCZ","isoTWAS","SMIM4","ENST00000307106",3,52534013,52579237,"protein_coding",-9.256245033,2.12e-20,0.02997003,0.014412646,"rs2256332",1.14e-19,4.56224e-20,1.36351835851852e-17,4.24e-20
"ENSG00000157388","Developmental","SCZ","isoTWAS","CACNA1D","ENST00000636627",3,53328963,53813733,"protein_coding",8.62430534,6.45e-18,0.024975025,0.027205694,"rs2256332",1.14e-19,2.72918104080244e-18,5.87283370900141e-16,7.095e-17
"ENSG00000162244","Developmental","SCZ","isoTWAS","RPL29","ENST00000479017",3,51993522,51995895,"protein_coding",9.257133326,2.1e-20,0.014985015,0.017691975,"rs2256332",1.14e-19,2.36919040430566e-21,1.27454546450297e-18,1.26e-19
"ENSG00000164091","Developmental","SCZ","isoTWAS","WDR82","ENST00000296490",3,52254434,52288020,"protein_coding",-9.427491137,4.2e-21,0.007992008,0.26853835,"rs2256332",1.14e-19,8.37827853712597e-21,3.3804259327669e-18,4.2e-21
"ENSG00000287707","Developmental","SCZ","isoTWAS","","ENST00000667061",3,51927071,51932483,"lncRNA",9.137874106,6.37e-20,0.005994006,0.016312935,"rs2256332",1.14e-19,1.274e-19,3.37066983606557e-17,6.37e-20
"ENSG00000164088","Developmental","SCZ","isoTWAS","PPM1M","ENST00000482724",3,52245759,52250599,"protein_coding",-9.552001013,1.27e-21,0.003996004,0.028856844,"rs2256332",1.14e-19,8.83327313137147e-21,3.47707792846839e-18,7.62e-21
"ENSG00000041880","Developmental","SCZ","isoTWAS","PARP3","ENST00000475782",3,51942345,51948867,"protein_coding",-9.029886502,1.72e-19,0.000999001,0.028039061,"rs2256332",1.14e-19,3.44e-19,8.28629253731343e-17,5.16e-19
"ENSG00000041880","Developmental","SCZ","isoTWAS","PARP3","ENST00000486510",3,51942345,51948867,"protein_coding",-9.029886502,1.72e-19,0.000999001,0.029938952,"rs2256332",1.14e-19,3.44e-19,8.28629253731343e-17,5.16e-19
"ENSG00000164088","Developmental","SCZ","isoTWAS","PPM1M","ENST00000409502",3,52245759,52250599,"protein_coding",8.857,8.22e-19,0.000999001,0.014795558,"rs2071042",8.22e-19,8.83327313137147e-21,3.47707792846839e-18,4.932e-18
"ENSG00000164088","Developmental","SCZ","isoTWAS","PPM1M","ENST00000323588",3,52245759,52250599,"protein_coding",8.857,8.22e-19,0.000999001,0.027345784,"rs2071042",8.22e-19,8.83327313137147e-21,3.47707792846839e-18,4.932e-18
"ENSG00000164088","Developmental","SCZ","isoTWAS","PPM1M","ENST00000457454",3,52245759,52250599,"protein_coding",-8.857,8.22e-19,0.000999001,0.02764267,"rs2071042",8.22e-19,8.83327313137147e-21,3.47707792846839e-18,4.932e-18
"ENSG00000164088","Developmental","SCZ","isoTWAS","PPM1M","ENST00000296487",3,52245759,52250599,"protein_coding",8.857,8.22e-19,0.000999001,0.06187858,"rs2071042",8.22e-19,8.83327313137147e-21,3.47707792846839e-18,4.932e-18
"ENSG00000164081","Developmental","SCZ","isoTWAS","TEX264","ENST00000614067",3,51662693,51704323,"protein_coding",-8.002196314,1.22e-15,0.031968032,0.015380231,"rs9311474",4.03e-18,1.92188408038111e-16,3.19765847147121e-14,8.54e-15
"ENSG00000164082","Developmental","SCZ","isoTWAS","GRM2","ENST00000464585",3,51707068,51718613,"protein_coding",-8.860808767,7.94e-19,0.000999001,0.047283875,"rs9311474",4.03e-18,3.96670202993278e-18,8.31410442351756e-16,3.176e-18
"ENSG00000248487","Developmental","SCZ","isoTWAS","ABHD14A","ENST00000474575",3,51971426,51981196,"protein_coding",9.385896174,6.24e-21,0.000999001,0.020834741,"rs9311474",4.03e-18,7.44822138317725e-24,6.01034224515488e-21,2.496e-20
"ENSG00000145041","Developmental","SCZ","isoTWAS","DCAF1","ENST00000335891",3,51395867,51500015,"protein_coding",-4.224522335,2.39e-05,0.000999001,0.011048153,"rs9311474",4.03e-18,2.39000000000224e-05,0.000266015241379559,0
"ENSG00000225206","Developmental","SCZ","isoTWAS","MIR137HG","ENST00000424528",1,97933474,98049871,"lncRNA",5.774940931,7.7e-09,0.021978022,0.023300593,"rs11165939",5.98e-18,1.53999861725306e-08,5.01089469432402e-07,7.7e-09
"ENSG00000205981","Developmental","SCZ","isoTWAS","DNAJC19","ENST00000486355",3,180983697,180989774,"protein_coding",6.831674862,8.39e-12,0.031968032,0.023491789,"rs7647398",2.21e-17,5.8730279851719e-11,3.52359846292525e-09,5.034e-11
"ENSG00000151148","Developmental","SCZ","isoTWAS","UBE3B","ENST00000535900",12,109477402,109536705,"protein_coding",-5.117015338,3.1e-07,0.043956044,0.011335575,"rs4766428",2.61e-17,4.51501115778517e-09,1.68285831583129e-07,3.1e-06
"ENSG00000139437","Developmental","SCZ","isoTWAS","TCHP","ENST00000536408",12,109900264,109983841,"protein_coding",3.958729159,7.53e-05,0.040959041,0.020556955,"rs4766428",2.61e-17,0.000210021620484633,0.00139486403446073,0.0003765
"ENSG00000111237","Developmental","SCZ","isoTWAS","VPS29","ENST00000360579",12,110491083,110502111,"protein_coding",-6.237392261,4.45e-10,0.036963037,0.029187996,"rs4766428",2.61e-17,4.47360742081574e-10,2.17779472142801e-08,3.56e-09
"ENSG00000122970","Developmental","SCZ","isoTWAS","IFT81","ENST00000550156",12,110124335,110218793,"protein_coding",5.199261524,2e-07,0.035964036,0.011626445,"rs4766428",2.61e-17,8.13328319436158e-09,2.88490236206157e-07,8e-07
"ENSG00000111237","Developmental","SCZ","isoTWAS","VPS29","ENST00000549578",12,110491083,110502111,"protein_coding",6.449689432,1.12e-10,0.02997003,0.019710993,"rs4766428",2.61e-17,4.47360742081574e-10,2.17779472142801e-08,1.12e-09
"ENSG00000204852","Developmental","SCZ","isoTWAS","TCTN1","ENST00000552762",12,110614027,110663431,"protein_coding",-6.269543522,3.62e-10,0.006993007,0.040039291,"rs4766428",2.61e-17,8.32536863316747e-09,2.93369267184912e-07,7.964e-09
"ENSG00000174456","Developmental","SCZ","isoTWAS","C12orf76","ENST00000546627",12,110027028,110073636,"protein_coding",-8.463,2.61e-17,0.000999001,0.017937626,"rs4766428",2.61e-17,3.47999999999999e-17,6.60749647058823e-15,1.827e-16
"ENSG00000174456","Developmental","SCZ","isoTWAS","C12orf76","ENST00000309050",12,110027028,110073636,"protein_coding",-8.463,2.61e-17,0.000999001,0.021298497,"rs4766428",2.61e-17,3.47999999999999e-17,6.60749647058823e-15,1.827e-16
"ENSG00000174456","Developmental","SCZ","isoTWAS","C12orf76","ENST00000547573",12,110027028,110073636,"protein_coding",-8.463,2.61e-17,0.000999001,0.02691404,"rs4766428",2.61e-17,3.47999999999999e-17,6.60749647058823e-15,1.827e-16
"ENSG00000174456","Developmental","SCZ","isoTWAS","C12orf76","ENST00000551185",12,110027028,110073636,"protein_coding",8.463,2.61e-17,0.000999001,0.03435,"rs4766428",2.61e-17,3.47999999999999e-17,6.60749647058823e-15,1.827e-16
"ENSG00000174456","Developmental","SCZ","isoTWAS","C12orf76","ENST00000546651",12,110027028,110073636,"protein_coding",-8.463,2.61e-17,0.000999001,0.040720815,"rs4766428",2.61e-17,3.47999999999999e-17,6.60749647058823e-15,1.827e-16
"ENSG00000174456","Developmental","SCZ","isoTWAS","C12orf76","ENST00000549724",12,110027028,110073636,"protein_coding",-8.463,2.61e-17,0.000999001,0.046763622,"rs4766428",2.61e-17,3.47999999999999e-17,6.60749647058823e-15,1.827e-16
"ENSG00000111237","Developmental","SCZ","isoTWAS","VPS29","ENST00000621131",12,110491083,110502111,"protein_coding",-6.477031966,9.35e-11,0.000999001,0.020520457,"rs4766428",2.61e-17,4.47360742081574e-10,2.17779472142801e-08,9.35e-10
"ENSG00000164081","Developmental","SCZ","isoTWAS","TEX264","ENST00000483429",3,51662693,51704323,"protein_coding",-8.403,4.35e-17,0.000999001,0.028955198,"rs1060330",4.35e-17,1.92188408038111e-16,3.19765847147121e-14,3.48e-16
"ENSG00000164081","Developmental","SCZ","isoTWAS","TEX264","ENST00000341333",3,51662693,51704323,"protein_coding",8.403,4.35e-17,0.000999001,0.050640346,"rs1060330",4.35e-17,1.92188408038111e-16,3.19765847147121e-14,3.48e-16
"ENSG00000236653","Developmental","SCZ","isoTWAS","LINC01923","ENST00000658157",2,198299276,198375490,"lncRNA",-7.901188941,2.76e-15,0.032967033,0.023920796,"rs1451488",6.71e-17,8.32791474349381e-15,1.01055801537779e-12,5.52e-15
"ENSG00000119042","Developmental","SCZ","isoTWAS","SATB2","ENST00000443023",2,199269505,199471266,"protein_coding",6.766184988,1.32e-11,0.000999001,0.010578294,"rs1451488",6.71e-17,2.26898203887557e-11,1.51318599691789e-09,6.6e-11
"ENSG00000233723","Developmental","SCZ","isoTWAS","LINC01122","ENST00000429095",2,58427738,59063766,"lncRNA",4.527515993,5.97e-06,0.034965035,0.018838486,"rs11682175",1.02e-16,0.000100033376512823,0.000802828781611155,9.552e-05
"ENSG00000117394","Developmental","SCZ","isoTWAS","SLC2A1","ENST00000460369",1,42925353,42958893,"protein_coding",-5.276507064,1.32e-07,0.006993007,0.04154538,"rs11210892",1.18e-16,7.91972497257344e-07,1.57282053367853e-05,6.6e-07
"ENSG00000287113","Developmental","SCZ","isoTWAS","","ENST00000671634",1,43348288,43348844,"lncRNA",3.928934886,8.53e-05,0.000999001,0.016943111,"rs11210892",1.18e-16,8.53000000000158e-05,0.000716605480378808,0
"ENSG00000117400","Developmental","SCZ","isoTWAS","MPL","ENST00000372470",1,43337818,43354466,"protein_coding",5.140905615,2.73e-07,0.000999001,0.016980994,"rs11210892",1.18e-16,2.7300000004723e-07,6.20555915600317e-06,0
"ENSG00000010327","Developmental","SCZ","isoTWAS","STAB1","ENST00000469989",3,52495338,52524495,"protein_coding",-8.888832528,6.18e-19,0.047952048,0.024345423,"rs7614981",2.36e-16,4.10583409781915e-19,9.74471419186813e-17,2.472e-18
"ENSG00000168268","Developmental","SCZ","isoTWAS","NT5DC2","ENST00000469616",3,52524385,52535054,"protein_coding",-8.460047257,2.67e-17,0.01998002,0.033823181,"rs7614981",2.36e-16,6.89904432804813e-20,1.88718095610794e-17,1.869e-16
"ENSG00000248487","Developmental","SCZ","isoTWAS","ABHD14A","ENST00000458031",3,51971426,51981196,"protein_coding",-10.22746932,1.49e-24,0.018981019,0.011042021,"rs7614981",2.36e-16,7.44822138317725e-24,6.01034224515488e-21,5.96e-24
"ENSG00000243989","Developmental","SCZ","isoTWAS","ACY1","ENST00000490244",3,51983340,51989197,"protein_coding",-7.951081416,1.85e-15,0.006993007,0.044326503,"rs7614981",2.36e-16,8.64265473027308e-20,2.32473007819795e-17,2.035e-14
"ENSG00000243989","Developmental","SCZ","isoTWAS","ACY1","ENST00000636358",3,51983340,51989197,"protein_coding",-7.951081416,1.85e-15,0.005994006,0.025831677,"rs7614981",2.36e-16,8.64265473027308e-20,2.32473007819795e-17,2.035e-14
"ENSG00000204619","Developmental","SCZ","isoTWAS","PPP1R11","ENST00000376773",6,30066709,30070333,"protein_coding",7.38860328,1.48e-13,0.033966034,0.010018976,"rs3129063",5.59e-16,1.97361735937124e-13,1.89596491445789e-11,4.44e-13
"ENSG00000204619","Developmental","SCZ","isoTWAS","PPP1R11","ENST00000376765",6,30066709,30070333,"protein_coding",-7.38860328,1.48e-13,0.030969031,0.011824443,"rs3129063",5.59e-16,1.97361735937124e-13,1.89596491445789e-11,4.44e-13
"ENSG00000204619","Developmental","SCZ","isoTWAS","PPP1R11","ENST00000376769",6,30066709,30070333,"protein_coding",7.38860328,1.48e-13,0.026973027,0.045669638,"rs3129063",5.59e-16,1.97361735937124e-13,1.89596491445789e-11,4.44e-13
"ENSG00000206503","Developmental","SCZ","isoTWAS","HLA-A","ENST00000376809",6,29941260,29949572,"protein_coding",-8.178780165,2.87e-16,0.023976024,0.546008556,"rs3129063",5.59e-16,8.89452435734807e-18,1.79435910754051e-15,1.148e-15
"ENSG00000206503","Developmental","SCZ","isoTWAS","HLA-A","ENST00000638375",6,29941260,29949572,"protein_coding",-8.769917392,1.79e-18,0.00999001,0.11469435,"rs3129063",5.59e-16,8.89452435734807e-18,1.79435910754051e-15,7.16e-18
"ENSG00000013441","Developmental","SCZ","isoTWAS","CLK1","ENST00000461981",2,200853009,200864691,"protein_coding",-5.125924389,2.96e-07,0.041958042,0.021574116,"rs10931890",6.92e-16,1.3324209442482e-06,2.43257258135992e-05,2.96e-06
"ENSG00000155729","Developmental","SCZ","isoTWAS","KCTD18","ENST00000409157",2,200488958,200519784,"protein_coding",7.049991897,1.79e-12,0.003996004,0.010097968,"rs10931890",6.92e-16,7.16014192611891e-12,5.15881832793005e-10,5.37e-12
