Gene,Dataset,Trait,Method,HGNC,Transcript,Chromosome,Start,End,Biotype,Z,P,"Permutation P",R2,"Top GWAS SNP","Top GWAS P",Screen.P,"Screening Adjusted P","Confirmation P"
ENSG00000238083,Developmental,NTSM,isoTWAS,LRRC37A2,ENST00000333412,17,46511508,46556910,protein_coding,8.771680318,1.76E-18,0.016983017,0.292639424,rs1876829,9.98E-30,3.33589958158992E-18,7.08395833516839E-16,3.52E-18
ENSG00000163161,Developmental,ALZ,isoTWAS,ERCC3,ENST00000491292,2,127257290,127294166,protein_coding,3.308374282,0.000938393,0.038961039,0.05129584,rs744373,2.45E-27,4.23707157532897E-05,0.000416709921719891,0.013137502
ENSG00000221988,Developmental,SCZ,isoTWAS,PPT2,ENST00000375137,6,32153441,32163678,protein_coding,-6.443419063,1.17E-10,0.048951049,0.030972516,rs3132445,5.99E-27,1.81799513717741E-15,2.46559861503414E-13,5.85E-10
ENSG00000244731,Developmental,SCZ,isoTWAS,C4A,ENST00000467948,6,31982057,32002681,protein_coding,7.019236689,2.23E-12,0.040959041,0.028890607,rs3132445,5.99E-27,9.94023538169094E-13,8.48811951455609E-11,2.453E-11
ENSG00000204463,Developmental,SCZ,isoTWAS,BAG6,ENST00000465348,6,31639028,31652705,protein_coding,-8.091983836,5.87E-16,0.03996004,0.032741927,rs3132445,5.99E-27,9.23457735975901E-16,1.33068610722456E-13,1.0566E-14
ENSG00000231852,Developmental,SCZ,isoTWAS,CYP21A2,ENST00000486063,6,32038327,32041644,protein_coding,7.045281282,1.85E-12,0.038961039,0.023955045,rs3132445,5.99E-27,5.88812514026446E-14,6.25187181833738E-12,1.85E-12
ENSG00000204469,Developmental,SCZ,isoTWAS,PRRC2A,ENST00000376033,6,31620715,31637771,protein_coding,8.017147136,1.08E-15,0.035964036,0.030990265,rs3132445,5.99E-27,6.65988584038468E-16,9.77126341617894E-14,6.48E-15
ENSG00000288473,Developmental,SCZ,isoTWAS,,ENST00000477288,6,30908242,30926459,lncRNA,-8.771530389,1.76E-18,0.031968032,0.045685849,rs3132445,5.99E-27,1.76E-18,3.94508888888889E-16,0
ENSG00000225914,Developmental,SCZ,isoTWAS,TSBP1-AS1,ENST00000653107,6,32254640,32407763,lncRNA,-7.463502542,8.43E-14,0.028971029,0.088733804,rs3132445,5.99E-27,1.26504326878231E-12,1.05239862447823E-10,1.1802E-12
ENSG00000204390,Developmental,SCZ,isoTWAS,HSPA1L,ENST00000375654,6,31809619,31815283,protein_coding,-8.353788536,6.61E-17,0.028971029,0.050950913,rs3132445,5.99E-27,6.61E-17,1.18531988888889E-14,0
ENSG00000204394,Developmental,SCZ,isoTWAS,VARS1,ENST00000461328,6,31777518,31795752,protein_coding,-8.302668577,1.02E-16,0.027972028,0.01597213,rs3132445,5.99E-27,6.50157624247623E-16,9.62650816305723E-14,7.14E-16
ENSG00000198563,Developmental,SCZ,isoTWAS,DDX39B,ENST00000417023,6,31530219,31542448,protein_coding,-8.447866832,2.97E-17,0.021978022,0.011425906,rs3132445,5.99E-27,5.01222636543528E-16,7.77810781843846E-14,4.752E-16
ENSG00000244731,Developmental,SCZ,isoTWAS,C4A,ENST00000483974,6,31982057,32002681,protein_coding,7.460823209,8.6E-14,0.01998002,0.0187969,rs3132445,5.99E-27,9.94023538169094E-13,8.48811951455609E-11,9.46E-13
ENSG00000204520,Developmental,SCZ,isoTWAS,MICA,ENST00000667609,6,31399784,31415315,protein_coding,-9.120309469,7.49E-20,0.013986014,0.256692861,rs3132445,5.99E-27,1.498E-19,3.89939064516129E-17,7.49E-20
ENSG00000221988,Developmental,SCZ,isoTWAS,PPT2,ENST00000324816,6,32153441,32163678,protein_coding,8.172255735,3.03E-16,0.007992008,0.041858528,rs3132445,5.99E-27,1.81799513717741E-15,2.46559861503414E-13,1.515E-15
ENSG00000204310,Developmental,SCZ,isoTWAS,AGPAT1,ENST00000490711,6,32168212,32178096,protein_coding,8.326458404,8.33E-17,0.006993007,0.047074363,rs3132445,5.99E-27,3.11920507455805E-16,4.98424264339528E-14,2.499E-16
ENSG00000204435,Developmental,SCZ,isoTWAS,CSNK2B,ENST00000375865,6,31665227,31670343,protein_coding,9.585126243,9.23E-22,0.006993007,0.012144671,rs3132445,5.99E-27,4.61499686877356E-21,2.12804098471818E-18,3.692E-21
ENSG00000204427,Developmental,SCZ,isoTWAS,ABHD16A,ENST00000471644,6,31686955,31703356,protein_coding,9.893855223,4.43E-23,0.005994006,0.029402442,rs3132445,5.99E-27,3.10099999996941E-22,1.91831180323792E-19,2.658E-22
ENSG00000204387,Developmental,SCZ,isoTWAS,SNHG32,ENST00000375641,6,31834608,31839766,lncRNA,-9.024892872,1.8E-19,0.001998002,0.098203188,rs3132445,5.99E-27,8.99948235312173E-19,2.07489493852902E-16,7.2E-19
ENSG00000204348,Developmental,SCZ,isoTWAS,DXO,ENST00000473976,6,31969810,31972290,protein_coding,9.794645773,1.19E-22,0.000999001,0.01275504,rs3132445,5.99E-27,1.18999999999991E-21,6.62255517241331E-19,1.071E-21
ENSG00000204304,Developmental,SCZ,isoTWAS,PBX2,ENST00000478678,6,32184733,32190202,protein_coding,-10.51014624,7.76E-26,0.000999001,0.050115363,rs3132445,5.99E-27,2.32799999999137E-25,2.6836851428472E-22,1.552E-25
ENSG00000204428,Developmental,SCZ,isoTWAS,LY6G5C,ENST00000375863,6,31676684,31684040,protein_coding,-12.44814761,1.43E-35,0.000999001,0.620583612,rs3132445,5.99E-27,4.29E-35,1.3847262E-31,2.86E-35
ENSG00000200816,Developmental,SCZ,isoTWAS,SNORA38,ENST00000363946,6,31623079,31623210,snoRNA,13.02542249,8.77E-39,0.000999001,0.031050765,rs3132445,5.99E-27,8.77E-39,3.53847575E-35,0
ENSG00000137312,Developmental,SCZ,isoTWAS,FLOT1,ENST00000484168,6,30727709,30742732,protein_coding,-10.15634864,3.1E-24,0.005994006,0.148749288,rs3101018,1.57E-26,1.24E-23,9.09652727272726E-21,9.3E-24
ENSG00000108424,Developmental,NTSM,isoTWAS,KPNB1,ENST00000580573,17,47649476,47685505,protein_coding,-4.991667007,5.99E-07,0.043956044,0.01492449,rs199457,2.48E-26,6.57289014447473E-06,9.11768672693696E-05,5.99E-06
ENSG00000262879,Developmental,NTSM,isoTWAS,,ENST00000660448,17,46983287,47100323,lncRNA,6.324537281,2.54E-10,0.026973027,0.05655738,rs199457,2.48E-26,4.06399770115109E-09,1.53333980358531E-07,3.81E-09
ENSG00000204257,Developmental,SCZ,isoTWAS,HLA-DMA,ENST00000464392,6,32948613,32969094,protein_coding,-6.75998272,1.38E-11,0.01998002,0.104086808,rs1150753,6.02E-26,2.74215453353841E-11,1.80635232721536E-09,1.38E-11
ENSG00000234127,Developmental,SCZ,isoTWAS,TRIM26,ENST00000454678,6,30184455,30213427,protein_coding,-7.272832109,3.52E-13,0.044955045,0.052254531,rs3130557,1.33E-25,7.04001727387773E-13,6.38308083051195E-11,3.52E-13
ENSG00000204576,Developmental,SCZ,isoTWAS,PRR3,ENST00000491173,6,30557280,30563723,protein_coding,-7.41217358,1.24E-13,0.025974026,0.020977977,rs3130557,1.33E-25,3.72182562839581E-13,3.47205455587746E-11,2.48E-13
ENSG00000204599,Developmental,SCZ,isoTWAS,TRIM39,ENST00000396547,6,30326479,30343729,protein_coding,-8.401885493,4.39E-17,0.018981019,0.038016535,rs3130557,1.33E-25,2.19499999999625E-16,3.57829343433732E-14,1.756E-16
ENSG00000231074,Developmental,SCZ,isoTWAS,HCG18,ENST00000454129,6,30286690,30327382,lncRNA,8.213755182,2.14E-16,0.016983017,0.019234199,rs3130557,1.33E-25,2.99585571636459E-15,3.83731074654033E-13,2.782E-15
ENSG00000137337,Developmental,SCZ,isoTWAS,MDC1,ENST00000425072,6,30699807,30717447,protein_coding,6.727739345,1.72E-11,0.005994006,0.044102768,rs3130557,1.33E-25,2.94692784789348E-15,3.80483748297223E-13,1.032E-10
ENSG00000137337,Developmental,SCZ,isoTWAS,MDC1,ENST00000613547,6,30699807,30717447,protein_coding,-8.132310681,4.21E-16,0.005994006,0.069606257,rs3130557,1.33E-25,2.94692784789348E-15,3.80483748297223E-13,2.526E-15
ENSG00000137343,Developmental,SCZ,isoTWAS,ATAT1,ENST00000330083,6,30626842,30646823,protein_coding,9.223889806,2.87E-20,0.001998002,0.031369805,rs3130557,1.33E-25,1.72199999861393E-19,4.41132666311592E-17,1.435E-19
ENSG00000204592,Developmental,SCZ,isoTWAS,HLA-E,ENST00000376630,6,30489509,30494194,protein_coding,-10.68322892,1.22E-26,0.000999001,0.014017186,rs3130557,1.33E-25,2.44E-26,3.28159666666667E-23,1.22E-26
ENSG00000263426,Developmental,CDG,isoTWAS,RN7SL471P,ENST00000580476,6,28977475,28977773,misc_RNA,-11.66960387,1.82E-31,0.000999001,0.201297039,rs13211507,7.74E-25,1.82E-31,3.6716225E-28,0
ENSG00000163161,Developmental,ALZ,isoTWAS,ERCC3,ENST00000642308,2,127257290,127294166,protein_coding,-4.303690754,1.68E-05,0.035964036,0.020997106,rs7561528,5.14E-24,4.23707157532897E-05,0.000416709921719891,0.000252
ENSG00000130203,Developmental,ALZ,isoTWAS,APOE,ENST00000252486,19,44905791,44909393,protein_coding,8.669439028,4.34E-18,0.000999001,0.090166201,rs8111069,1.36E-23,1.30199999999312E-17,2.53168409637216E-15,8.68E-18
ENSG00000138172,Developmental,SCZ,isoTWAS,CALHM2,ENST00000480642,10,103446786,103452402,protein_coding,-8.824359056,1.1E-18,0.03996004,0.05712999,rs11191560,2.65E-23,4.4E-18,9.10405128205128E-16,3.3E-18
ENSG00000166197,Developmental,SCZ,isoTWAS,NOLC1,ENST00000370007,10,102152176,102163871,protein_coding,9.167782466,4.83E-20,0.020979021,0.035292722,rs11191560,2.65E-23,1.932E-19,4.871960625E-17,1.449E-19
ENSG00000198517,Developmental,SCZ,isoTWAS,MAFK,ENST00000343242,7,1530702,1543043,protein_coding,-6.36577341,1.94E-10,0.048951049,0.0332199,rs4721295,4.08E-23,5.18159748867817E-10,2.46683781326776E-08,3.88E-10
ENSG00000136295,Developmental,SCZ,isoTWAS,TTYH3,ENST00000477439,7,2631961,2664802,protein_coding,5.893709686,3.78E-09,0.043956044,0.045631767,rs4721295,4.08E-23,4.55999889976501E-15,5.7495173627584E-13,1.512E-08
ENSG00000002822,Developmental,SCZ,isoTWAS,MAD1L1,ENST00000491858,7,1815793,2233243,protein_coding,5.919199025,3.24E-09,0.030969031,0.014564719,rs4721295,4.08E-23,8.93748203632669E-13,7.88207773684571E-11,3.564E-08
ENSG00000164880,Developmental,SCZ,isoTWAS,INTS1,ENST00000483196,7,1470277,1504389,protein_coding,-6.665641773,2.64E-11,0.030969031,0.035764241,rs4721295,4.08E-23,1.84800064765142E-10,9.98818147981093E-09,1.584E-10
ENSG00000106012,Developmental,SCZ,isoTWAS,IQCE,ENST00000611775,7,2558972,2614733,protein_coding,-5.999661992,1.98E-09,0.028971029,0.011609002,rs4721295,4.08E-23,5.20799999998843E-20,1.50092699999667E-17,2.178E-08
ENSG00000002822,Developmental,SCZ,isoTWAS,MAD1L1,ENST00000444373,7,1815793,2233243,protein_coding,6.546493503,5.89E-11,0.013986014,0.027145577,rs4721295,4.08E-23,8.93748203632669E-13,7.88207773684571E-11,7.657E-10
ENSG00000164880,Developmental,SCZ,isoTWAS,INTS1,ENST00000404767,7,1470277,1504389,protein_coding,-4.176736615,2.96E-05,0.010989011,0.408541126,rs4721295,4.08E-23,1.84800064765142E-10,9.98818147981093E-09,0.0001776
ENSG00000230487,Developmental,SCZ,isoTWAS,PSMG3-AS1,ENST00000612019,7,1570073,1589626,lncRNA,-8.481290243,2.23E-17,0.005994006,0.031484155,rs4721295,4.08E-23,8.56178624554197E-17,1.49467956288573E-14,6.69E-17
ENSG00000002822,Developmental,SCZ,isoTWAS,MAD1L1,ENST00000483165,7,1815793,2233243,protein_coding,7.499926686,6.39E-14,0.003996004,0.046450376,rs4721295,4.08E-23,8.93748203632669E-13,7.88207773684571E-11,8.307E-13
ENSG00000002822,Developmental,SCZ,isoTWAS,MAD1L1,ENST00000421113,7,1815793,2233243,protein_coding,6.089930123,1.13E-09,0.002997003,0.037567062,rs4721295,4.08E-23,8.93748203632669E-13,7.88207773684571E-11,1.356E-08
ENSG00000136295,Developmental,SCZ,isoTWAS,TTYH3,ENST00000403167,7,2631961,2664802,protein_coding,-8.038151851,9.12E-16,0.002997003,0.036502732,rs4721295,4.08E-23,4.55999889976501E-15,5.7495173627584E-13,3.648E-15
ENSG00000106003,Developmental,SCZ,isoTWAS,LFNG,ENST00000359574,7,2512529,2529177,protein_coding,8.571179409,1.02E-17,0.001998002,0.014425845,rs4721295,4.08E-23,4.07999999999928E-17,7.56863448275728E-15,3.06E-17
ENSG00000106268,Developmental,SCZ,isoTWAS,NUDT1,ENST00000397049,7,2242226,2251146,protein_coding,-8.798748466,1.38E-18,0.000999001,0.013761927,rs4721295,4.08E-23,1.10399999999992E-17,2.17286048780473E-15,9.66E-18
ENSG00000106012,Developmental,SCZ,isoTWAS,IQCE,ENST00000402050,7,2558972,2614733,protein_coding,-9.424026192,4.34E-21,0.000999001,0.012853688,rs4721295,4.08E-23,5.20799999998843E-20,1.50092699999667E-17,4.774E-20
ENSG00000182952,Developmental,CDG,isoTWAS,HMGN4,ENST00000377575,6,26538366,26546933,protein_coding,-3.964923522,7.34E-05,0.000999001,0.012673097,rs6904596,4.25E-23,0.000145257298263306,0.00105885615929155,7.34E-05
ENSG00000181315,Developmental,CDG,isoTWAS,ZNF322,ENST00000415922,6,26634383,26659752,protein_coding,10.25156356,1.16E-24,0.005994006,0.027633894,rs6904596,4.25E-23,3.48E-24,3.12020666666667E-21,2.32E-24
ENSG00000228223,Developmental,CDG,isoTWAS,HCG11,ENST00000411553,6,26521709,26527404,lncRNA,5.694471756,1.24E-08,0.004995005,0.252974452,rs6904596,4.25E-23,1.24000000724785E-08,4.18668621693998E-07,0
ENSG00000073969,Developmental,BV,isoTWAS,NSF,ENST00000575068,17,46590669,46757679,protein_coding,-6.918002917,4.58E-12,0.016983017,0.083013682,rs16940665,5.45E-23,1.25820467688719E-22,8.46090220011766E-20,2.29E-11
ENSG00000108379,Developmental,BV,isoTWAS,WNT3,ENST00000225512,17,46762506,46833154,protein_coding,6.706719639,1.99E-11,0.01998002,0.022550623,rs16940665,5.45E-23,1.99000433428472E-11,1.35513417514857E-09,0
ENSG00000004478,Developmental,SCZ,isoTWAS,FKBP4,ENST00000543769,12,2794970,2805423,protein_coding,-4.311436946,1.62E-05,0.048951049,0.017370034,rs1108073,1.48E-22,8.09474993628418E-05,0.000687947178629228,6.48E-05
ENSG00000076685,Developmental,SCZ,isoTWAS,NT5C2,ENST00000461461,10,103087185,103277605,protein_coding,-9.181999472,4.23E-20,0.028971029,0.034389103,rs12411886,1.77E-22,2.961E-19,7.24054227272727E-17,2.538E-19
ENSG00000120049,Developmental,SCZ,isoTWAS,KCNIP2,ENST00000483385,10,101825974,101843920,protein_coding,5.615674661,1.96E-08,0.031968032,0.013227206,rs4147157,2.48E-22,1.06046919752327E-12,8.91401686397292E-11,5.88E-08
ENSG00000120049,Developmental,SCZ,isoTWAS,KCNIP2,ENST00000355657,10,101825974,101843920,protein_coding,-7.138908487,9.41E-13,0.007992008,0.037508568,rs4147157,2.48E-22,1.06046919752327E-12,8.91401686397292E-11,4.705E-12
ENSG00000269609,Developmental,SCZ,isoTWAS,C10orf95-AS1,ENST00000669625,10,102449816,102461106,lncRNA,10.69619036,1.06E-26,0.000999001,0.010327463,rs4147157,2.48E-22,4.23999999999997E-26,5.26379692307689E-23,7.42E-26
ENSG00000269609,Developmental,SCZ,isoTWAS,C10orf95-AS1,ENST00000597488,10,102449816,102461106,lncRNA,10.69619036,1.06E-26,0.000999001,0.013862406,rs4147157,2.48E-22,4.23999999999997E-26,5.26379692307689E-23,7.42E-26
ENSG00000187987,Developmental,CDG,isoTWAS,ZSCAN23,ENST00000289788,6,28431930,28443502,protein_coding,11.44668262,2.44E-30,0.028971029,0.588477957,rs149943,1.32E-21,7.31999999999996E-30,1.31263866666666E-26,4.88E-30
ENSG00000111801,Developmental,SCZ,isoTWAS,BTN3A3,ENST00000474790,6,26440472,26453415,protein_coding,9.349736448,8.79E-21,0.000999001,0.039656259,rs9467704,8.52E-21,4.25726553339064E-20,1.29637751779984E-17,3.516E-20
ENSG00000118518,Developmental,BV,isoTWAS,RNF146,ENST00000309649,6,127266726,127288567,protein_coding,7.255165562,4.01E-13,0.003996004,0.017710068,rs4273712,9.63E-21,5.21367231001859E-12,3.85979162437569E-10,4.812E-12
ENSG00000026950,Developmental,CDG,isoTWAS,BTN3A1,ENST00000506698,6,26402237,26415208,protein_coding,-4.028712147,5.61E-05,0.008991009,0.029376132,rs13194053,1.11E-20,5.30792677680894E-07,1.10975646076382E-05,0.0002805
ENSG00000124508,Developmental,CDG,isoTWAS,BTN2A2,ENST00000472507,6,26383096,26394874,protein_coding,-7.973177628,1.55E-15,0.036963037,0.059988582,rs13194053,1.11E-20,4.73594003187119E-20,1.38969702135217E-17,9.3E-15
ENSG00000112763,Developmental,CDG,isoTWAS,BTN2A1,ENST00000429381,6,26457904,26476621,protein_coding,8.000239845,1.24E-15,0.04995005,0.05709384,rs13194053,1.11E-20,4.33774315301863E-19,1.01459183690678E-16,6.2E-15
ENSG00000124508,Developmental,CDG,isoTWAS,BTN2A2,ENST00000416795,6,26383096,26394874,protein_coding,-8.076732021,6.65E-16,0.000999001,0.010352321,rs13194053,1.11E-20,4.73594003187119E-20,1.38969702135217E-17,4.655E-15
ENSG00000111801,Developmental,CDG,isoTWAS,BTN3A3,ENST00000477388,6,26440472,26453415,protein_coding,-8.200242843,2.4E-16,0.037962038,0.023491778,rs13194053,1.11E-20,4.25726553339064E-20,1.29637751779984E-17,7.2E-16
ENSG00000111801,Developmental,CDG,isoTWAS,BTN3A3,ENST00000244519,6,26440472,26453415,protein_coding,-8.979699963,2.72E-19,0.032967033,0.026459713,rs13194053,1.11E-20,4.25726553339064E-20,1.29637751779984E-17,1.088E-18
ENSG00000112763,Developmental,CDG,isoTWAS,BTN2A1,ENST00000493173,6,26457904,26476621,protein_coding,9.124103888,7.23E-20,0.000999001,0.019596152,rs13194053,1.11E-20,4.33774315301863E-19,1.01459183690678E-16,3.615E-19
ENSG00000186470,Developmental,CDG,isoTWAS,BTN3A2,ENST00000530653,6,26365159,26378320,protein_coding,9.315848609,1.21E-20,0.012987013,0.037177872,rs13194053,1.11E-20,6.83786641037961E-20,1.88718095610794E-17,6.05E-20
ENSG00000124508,Developmental,CDG,isoTWAS,BTN2A2,ENST00000493275,6,26383096,26394874,protein_coding,-9.391470269,5.92E-21,0.012987013,0.048165769,rs13194053,1.11E-20,4.73594003187119E-20,1.38969702135217E-17,4.144E-20
ENSG00000158373,Developmental,CDG,isoTWAS,H2BC5,ENST00000377777,6,26158122,26171349,protein_coding,10.36596226,3.54E-25,0.002997003,0.027227055,rs13194053,1.11E-20,7.08E-25,7.617608E-22,3.54E-25
ENSG00000168298,Developmental,CDG,isoTWAS,H1-4,ENST00000304218,6,26156329,26157115,protein_coding,5.218294202,1.81E-07,0.033966034,0.018825664,rs13194053,1.11E-20,1.81000000002931E-07,4.37299251504088E-06,0
ENSG00000274750,Developmental,CDG,isoTWAS,H3C6,ENST00000634733,6,26224199,26227473,protein_coding,5.659376095,1.52E-08,0.004995005,0.010898441,rs13194053,1.11E-20,1.51999999727251E-08,4.95581413252141E-07,0
ENSG00000277157,Developmental,CDG,isoTWAS,H4C4,ENST00000614247,6,26188710,26189112,protein_coding,-7.142934204,9.14E-13,0.028971029,0.030116151,rs13194053,1.11E-20,9.14040227318856E-13,8.0172256677712E-11,0
ENSG00000187837,Developmental,CDG,isoTWAS,H1-2,ENST00000343677,6,26055740,26056470,protein_coding,5.17894334,2.23E-07,0.004995005,0.023248738,rs1977,1.12E-20,2.23000000061567E-07,5.20688050501829E-06,0
ENSG00000278463,Developmental,CDG,isoTWAS,H2AC4,ENST00000615868,6,26033092,26033618,protein_coding,-8.095255046,5.71E-16,0.004995005,0.047018144,rs1977,1.12E-20,5.71E-16,8.53274907407408E-14,0
ENSG00000073969,Developmental,NTSM,isoTWAS,NSF,ENST00000576040,17,46590669,46757679,protein_coding,4.949927496,7.42E-07,0.001998002,0.081756876,rs199453,4.31E-20,1.25820467688719E-22,8.46090220011766E-20,2.968E-06
ENSG00000162244,Developmental,SCZ,isoTWAS,RPL29,ENST00000648640,3,51993522,51995895,protein_coding,-9.686508115,3.44E-22,0.044955045,0.04211034,rs2256332,1.14E-19,2.36919040430566E-21,1.27454546450297E-18,2.064E-21
ENSG00000168273,Developmental,SCZ,isoTWAS,SMIM4,ENST00000307106,3,52534013,52579237,protein_coding,-9.256245033,2.12E-20,0.02997003,0.014412646,rs2256332,1.14E-19,4.56224E-20,1.36351835851852E-17,4.24E-20
ENSG00000157388,Developmental,SCZ,isoTWAS,CACNA1D,ENST00000636627,3,53328963,53813733,protein_coding,8.62430534,6.45E-18,0.024975025,0.027205694,rs2256332,1.14E-19,2.72918104080244E-18,5.87283370900141E-16,7.095E-17
ENSG00000162244,Developmental,SCZ,isoTWAS,RPL29,ENST00000479017,3,51993522,51995895,protein_coding,9.257133326,2.1E-20,0.014985015,0.017691975,rs2256332,1.14E-19,2.36919040430566E-21,1.27454546450297E-18,1.26E-19
ENSG00000164091,Developmental,SCZ,isoTWAS,WDR82,ENST00000296490,3,52254434,52288020,protein_coding,-9.427491137,4.2E-21,0.007992008,0.26853835,rs2256332,1.14E-19,8.37827853712597E-21,3.3804259327669E-18,4.2E-21
ENSG00000287707,Developmental,SCZ,isoTWAS,,ENST00000667061,3,51927071,51932483,lncRNA,9.137874106,6.37E-20,0.005994006,0.016312935,rs2256332,1.14E-19,1.274E-19,3.37066983606557E-17,6.37E-20
ENSG00000164088,Developmental,SCZ,isoTWAS,PPM1M,ENST00000482724,3,52245759,52250599,protein_coding,-9.552001013,1.27E-21,0.003996004,0.028856844,rs2256332,1.14E-19,8.83327313137147E-21,3.47707792846839E-18,7.62E-21
ENSG00000041880,Developmental,SCZ,isoTWAS,PARP3,ENST00000475782,3,51942345,51948867,protein_coding,-9.029886502,1.72E-19,0.000999001,0.028039061,rs2256332,1.14E-19,3.44E-19,8.28629253731343E-17,5.16E-19
ENSG00000041880,Developmental,SCZ,isoTWAS,PARP3,ENST00000486510,3,51942345,51948867,protein_coding,-9.029886502,1.72E-19,0.000999001,0.029938952,rs2256332,1.14E-19,3.44E-19,8.28629253731343E-17,5.16E-19
ENSG00000198933,Developmental,BV,isoTWAS,TBKBP1,ENST00000578982,17,47694161,47712052,protein_coding,-4.310202969,1.63E-05,0.043956044,0.016550794,rs199457,1.54E-19,4.73765359397598E-05,0.000454583777367291,3.26E-05
ENSG00000108433,Developmental,BV,isoTWAS,GOSR2,ENST00000623037,17,46923075,46975524,protein_coding,5.264784925,1.4E-07,0.000999001,0.017543272,rs199457,1.54E-19,6.71753321176349E-08,1.8375299746551E-06,3.36E-06
ENSG00000189367,Developmental,ICV,isoTWAS,KIAA0408,ENST00000472335,6,127438406,127459389,protein_coding,-4.120782938,3.78E-05,0.000999001,0.017443697,rs4273712,2.38E-19,1.18998958548567E-09,5.0144234778468E-08,0.0001512
ENSG00000255330,Developmental,ICV,isoTWAS,,ENST00000464495,6,127438406,127519001,protein_coding,4.227004582,2.37E-05,0.040959041,0.027417703,rs4273712,2.38E-19,7.08387859076011E-05,0.000619321324898578,4.74E-05
ENSG00000118518,Developmental,ICV,isoTWAS,RNF146,ENST00000476956,6,127266726,127288567,protein_coding,-5.048253734,4.46E-07,0.025974026,0.02517568,rs4273712,2.38E-19,5.21367231001859E-12,3.85979162437569E-10,5.352E-06
ENSG00000286215,Developmental,ICV,isoTWAS,,ENST00000651319,6,126304223,127213609,transcribed_processed_pseudogene,5.485890778,4.11E-08,0.000999001,0.017284092,rs4273712,2.38E-19,7.03508680192955E-13,6.38308083051195E-11,6.987E-07
ENSG00000135547,Developmental,ICV,isoTWAS,HEY2,ENST00000368364,6,125747664,125761269,protein_coding,-5.389791648,7.05E-08,0.040959041,0.04575377,rs4273712,2.38E-19,1.40999915217569E-07,3.52805834371528E-06,7.05E-08
ENSG00000066651,Developmental,ICV,isoTWAS,TRMT11,ENST00000461129,6,125986479,126203817,protein_coding,-6.70686808,1.99E-11,0.007992008,0.014534746,rs4273712,2.38E-19,1.57280168347636E-10,8.63382529579082E-09,1.393E-10
ENSG00000286215,Developmental,ICV,isoTWAS,,ENST00000651876,6,126304223,127213609,transcribed_processed_pseudogene,7.027468982,2.1E-12,0.002997003,0.027463605,rs4273712,2.38E-19,7.03508680192955E-13,6.38308083051195E-11,3.78E-11
ENSG00000286215,Developmental,ICV,isoTWAS,,ENST00000650841,6,126304223,127213609,transcribed_processed_pseudogene,7.568548279,3.77E-14,0.000999001,0.013361741,rs4273712,2.38E-19,7.03508680192955E-13,6.38308083051195E-11,6.786E-13
